Player_num,player,team,YAR,DVOA,VOA,QBR,pass,yards,Eyds,TD,FK,FL,INT,comp_perc,ALEX,year,completions,yds_per_comp,DYAR_per_comp,Eyds_per_comp,DYAR
1,A.Dalton,CIN,75,-0.086,-0.090,41.1,536,3061,2894,25,0,4,12,0.60,2.2,2017,323,9.5,0.3,9.0,87
2,A.Dalton,CIN,406,0.052,0.053,59.4,383,2405,2543,21,1,0,10,0.62,1.1,2018,239,10.1,1.7,10.6,404
3,A.Dalton,CIN,-63,-0.106,-0.129,40.1,558,3230,2934,16,1,4,14,0.60,1.2,2019,337,9.6,0.1,8.7,19
4,A.Dalton,CIN,667,0.076,0.058,52.3,605,3915,4165,18,5,2,8,0.65,0.8,2016,393,10.0,1.9,10.6,738
5,A.Dalton,CIN,1059,0.317,0.289,72.5,409,3103,3676,26,2,2,7,0.66,1.9,2015,270,11.5,4.2,13.6,1135
6,A.Dalton,CIN,238,-0.037,-0.036,49,502,3284,2882,19,0,1,17,0.64,-0.4,2014,322,10.2,0.7,8.9,237
7,A.Dalton,CIN,612,0.023,0.041,54.8,615,4088,3976,33,1,3,20,0.62,2.4,2013,383,10.7,1.4,10.4,541
8,A.Dalton,CIN,339,-0.059,-0.019,47.3,571,3422,3236,27,0,4,15,0.63,2.4,2012,359,9.5,0.5,9.0,194
9,A.Dalton,CIN,481,0.056,0.029,49.5,540,3224,3546,20,1,2,13,0.58,1.8,2011,315,10.2,1.8,11.3,573
10,A.Davis,CLE,-287,-0.529,-0.558,33.6,105,425,152,1,0,1,3,0.61,0.9,2015,64,6.6,-4.2,2.4,-269
11,A.Davis,STL,-2,-0.088,-0.112,44.8,312,1819,1687,12,2,3,9,0.64,2.1,2014,199,9.1,0.2,8.5,47
12,A.J.Feeley,STL,-171,-0.406,-0.375,27.8,107,477,261,1,1,2,2,0.55,-2.4,2011,58,8.2,-3.3,4.5,-192
13,A.Luck,IND,1152,0.133,0.152,69.6,656,4430,4982,39,3,1,15,0.68,0.1,2018,444,10.0,2.4,11.2,1070
14,A.Luck,IND,671,0.073,0.061,65.9,586,3958,4117,31,1,4,13,0.64,1.5,2016,375,10.6,1.9,11.0,719
15,A.Luck,IND,-189,-0.175,-0.206,52.4,306,1783,1435,15,2,0,12,0.56,2.5,2015,171,10.4,-0.7,8.4,-126
16,A.Luck,IND,829,0.092,0.080,64,645,4573,4681,40,5,5,16,0.62,3.5,2014,401,11.4,2.2,11.7,879
17,A.Luck,IND,623,0.046,0.039,63.8,606,3612,4213,23,3,2,9,0.61,2.2,2013,367,9.9,1.8,11.5,650
18,A.Luck,IND,366,-0.051,-0.026,64.3,662,4089,3793,23,5,5,17,0.55,3.6,2012,364,11.2,0.7,10.4,257
19,A.Rodgers,GB,308,0.078,0.063,62.6,259,1513,1872,16,0,1,6,0.65,3.9,2017,168,9.0,2.0,11.1,334
20,A.Rodgers,GB,694,0.081,0.052,58,644,4032,4533,25,1,3,2,0.63,4.5,2018,405,10.0,2.0,11.2,817
21,A.Rodgers,GB,817,0.090,0.096,50.4,605,3707,4250,26,0,4,4,0.62,4.1,2019,377,9.8,2.1,11.3,794
22,A.Rodgers,GB,1299,0.187,0.192,72.4,644,4175,5198,40,2,2,6,0.66,3.8,2016,425,9.8,3.0,12.2,1279
23,A.Rodgers,GB,258,-0.010,-0.047,60,617,3489,3802,31,4,4,8,0.61,3.5,2015,376,9.3,1.1,10.1,406
24,A.Rodgers,GB,1581,0.322,0.327,77.8,550,4168,5035,38,6,2,5,0.66,4.2,2014,362,11.5,4.3,13.9,1564
25,A.Rodgers,GB,762,0.254,0.264,61.6,310,2413,2644,18,3,0,6,0.67,2.5,2013,207,11.7,3.6,12.8,740
26,A.Rodgers,GB,1276,0.234,0.204,71.3,602,4016,5156,39,1,4,8,0.68,3.8,2012,408,9.9,3.4,12.7,1395
27,A.Rodgers,GB,2121,0.466,0.484,83.8,537,4438,5670,45,3,0,6,0.69,4.1,2011,369,12.0,5.6,15.4,2059
28,A.Rodgers,GB,1241,0.268,0.255,69.6,505,3710,4470,28,3,0,10,0.66,3.9,2010,334,11.1,3.8,13.4,1286
29,A.Smith,KC,1071,0.183,0.196,61.6,541,3840,4203,26,1,1,5,0.68,0.7,2017,366,10.5,2.8,11.5,1026
30,A.Smith,WAS,95,-0.135,-0.069,46.9,350,2033,1722,10,4,1,5,0.63,0.3,2018,222,9.2,-0.2,7.8,-53
31,A.Smith,KC,538,0.094,0.049,60.8,518,3372,3635,16,1,4,8,0.67,0.5,2016,349,9.7,2.0,10.4,688
32,A.Smith,KC,359,0.030,-0.003,61.1,516,3243,3303,20,2,0,7,0.66,-3.4,2015,338,9.6,1.4,9.8,468
33,A.Smith,KC,527,0.041,0.051,52,511,3039,3285,19,0,1,6,0.66,-2.4,2014,335,9.1,1.5,9.8,493
34,A.Smith,KC,416,-0.037,0.007,45,545,3080,3194,23,3,3,7,0.61,-2.1,2013,334,9.2,0.8,9.6,262
35,A.Smith,SF,365,0.148,0.115,64.3,243,1610,1866,13,0,1,5,0.70,-1,2012,171,9.4,2.4,10.9,418
36,A.Smith,SF,354,0.033,0.003,54.5,492,2857,3100,17,3,2,5,0.62,-0.7,2011,304,9.4,1.5,10.2,448
37,A.Smith,SF,0,-0.122,-0.111,43.8,364,2173,1828,14,2,2,10,0.61,0.4,2010,222,9.8,-0.1,8.2,-26
38,A.Tanney,TEN,2,-0.085,-0.089,43.3,17,65,87,1,0,0,0,0.71,1.3,2015,12,5.4,0.2,7.2,3
