player,team,YAR,DVOA,VOA,passes,yards,Eyds,TD,catch_rate,fum,year,catches,yds_per_catch,DYAR_per_catch,Eyds_per_catch,DYAR
L.Fitzgerald,ARI,182,-0.013,0.014,161,1156,1270,6,0.68,1,2017,109,10.6,1.3,11.6,147
T.Y.Hilton,IND,60,-0.038,-0.056,109,966,801,4,0.52,2,2017,57,17.0,1.3,14.1,75
A.J.Green,CIN,88,-0.064,-0.051,143,1086,1063,8,0.52,2,2017,74,14.6,1.0,14.3,73
A.Brown,PIT,389,0.201,0.170,163,1533,1703,9,0.62,3,2017,101,15.2,4.3,16.9,430
M.Jones,DET,385,0.338,0.326,107,1101,1276,9,0.57,0,2017,61,18.1,6.5,20.9,395
K.Allen,LACH,378,0.165,0.165,159,1395,1614,6,0.64,1,2017,102,13.7,3.7,15.9,378
D.Hopkins,HOU,340,0.133,0.114,174,1378,1694,13,0.55,1,2017,96,14.4,3.8,17.7,367
M.Thomas,NO,335,0.150,0.154,149,1245,1460,5,0.70,0,2017,104,11.9,3.2,14.0,330
J.Smith-Schuster,PIT,321,0.373,0.380,79,917,983,7,0.73,0,2017,58,15.9,5.5,17.0,317
J.Jones,ATL,326,0.137,0.148,148,1444,1427,3,0.59,0,2017,87,16.5,3.6,16.3,313
T.Hill,KC,303,0.236,0.234,106,1192,1132,7,0.72,0,2017,76,15.6,4.0,14.8,304
S.Diggs,MIN,308,0.247,0.263,95,849,1077,8,0.67,0,2017,64,13.3,4.6,16.9,295
C.Kupp,LARM,266,0.248,0.239,92,869,993,5,0.65,1,2017,60,14.5,4.5,16.6,272
A.Thielen,MIN,269,0.101,0.108,142,1276,1320,4,0.64,3,2017,91,14.0,2.9,14.5,261
T.Ginn,NO,266,0.348,0.362,70,787,826,4,0.76,0,2017,53,14.8,4.9,15.5,259
B.Cooks,NE,266,0.149,0.157,114,1082,1143,7,0.57,0,2017,65,16.7,4.0,17.6,258
S.Watkins,LARM,206,0.241,0.225,70,593,797,8,0.56,0,2017,39,15.1,5.5,20.3,216
D.Adams,GB,205,0.103,0.092,117,885,1078,10,0.63,0,2017,74,12.0,2.9,14.6,215
G.Tate,DET,205,0.097,0.098,120,1003,1040,5,0.77,1,2017,92,10.9,2.2,11.3,204
D.Baldwin,SEA,218,0.096,0.117,118,983,1024,8,0.65,0,2017,77,12.8,2.6,13.4,200
M.Sanu,ATL,180,0.107,0.109,96,703,888,5,0.70,0,2017,67,10.5,2.7,13.2,179
R.Matthews,TEN,183,0.136,0.151,87,795,788,4,0.61,0,2017,53,15.0,3.3,14.8,173
R.Woods,LARM,178,0.134,0.143,85,781,776,5,0.66,1,2017,56,13.9,3.1,13.8,172
D.Funchess,CAR,157,0.068,0.055,112,840,951,8,0.56,0,2017,63,13.4,2.7,15.2,168
A.Wilson,KC,157,0.214,0.193,62,554,647,3,0.68,0,2017,42,13.1,4.0,15.3,167
P.Richardson,SEA,183,0.134,0.169,80,703,741,6,0.55,0,2017,44,16.0,3.7,16.8,161
M.Goodwin,SF,149,0.059,0.052,105,962,907,2,0.53,0,2017,56,17.3,2.8,16.3,155
