player,team,YAR,DVOA,VOA,carries,yards,Eyds,TDs,fum,year,yds_per_carry,DYAR_per_carry,Eyds_per_carry,DYAR
A.Bradshaw,NYG,95,0.022,0.000,275,1243,1137,8,7,2010,4.5,0.4,4.1,110
A.Dixon,SF,-9,-0.142,-0.114,70,237,230,2,0,2010,3.4,-0.2,3.3,-14
A.Foster,HOU,373,0.180,0.177,325,1617,1832,16,3,2010,5.0,1.1,5.6,372
A.Peterson,MIN,224,0.107,0.102,284,1295,1401,12,2,2010,4.6,0.8,4.9,217
B.Green-Ellis,NE,304,0.267,0.214,229,1008,1451,13,0,2010,4.4,1.5,6.3,335
B.Jackson,GB,-38,-0.103,-0.136,190,703,636,3,1,2010,3.7,0.0,3.3,-8
B.Jacobs,NYG,189,0.188,0.209,148,824,835,9,3,2010,5.6,1.2,5.6,183
B.Scott,CIN,70,0.176,0.179,61,299,342,1,0,2010,4.9,1.1,5.6,69
B.Smith,NYJ,80,0.432,0.478,38,299,241,1,1,2010,7.9,2.0,6.3,76
B.Westbrook,SF,92,0.163,0.227,76,337,371,4,0,2010,4.4,1.0,4.9,79
C.Benson,CIN,-82,-0.125,-0.146,321,1121,1084,7,7,2010,3.5,-0.2,3.4,-67
C.Buckhalter,DEN,-68,-0.337,-0.373,59,147,107,2,1,2010,2.5,-1.1,1.8,-63
C.Ivory,NO,165,0.131,0.180,137,717,753,5,4,2010,5.2,1.0,5.5,139
C.J.Spiller,BUF,-22,-0.113,-0.164,74,288,233,0,2,2010,3.9,-0.1,3.1,-11
C.Johnson,TEN,14,-0.075,-0.075,316,1365,1095,11,2,2010,4.3,0.1,3.5,18
C.Portis,WAS,40,0.067,0.094,54,227,246,2,0,2010,4.2,0.9,4.6,46
C.Taylor,CHI,-113,-0.312,-0.324,112,267,234,3,0,2010,2.4,-1.0,2.1,-115
C.Wells,ARI,-20,-0.138,-0.127,116,397,370,2,1,2010,3.4,-0.2,3.2,-23
C.Williams,TB,-71,-0.224,-0.226,125,437,321,2,1,2010,3.5,-0.5,2.6,-65
D.Brown,IND,14,-0.048,-0.060,129,497,513,2,0,2010,3.9,0.1,4.0,19
D.J.Ware,NYG,14,0.038,0.075,20,73,90,0,0,2010,3.7,0.6,4.5,11
D.Karim,JAC,7,-0.062,-0.031,35,160,119,0,1,2010,4.6,0.1,3.4,4
D.McFadden,OAK,112,0.034,0.046,223,1150,902,7,3,2010,5.2,0.5,4.0,105
D.Nance,GB,-35,-0.287,-0.313,36,95,82,0,0,2010,2.6,-0.8,2.3,-30
D.Rhodes,IND,5,-0.031,-0.052,37,172,150,0,1,2010,4.6,0.4,4.1,13
D.Sproles,SD,-9,-0.201,-0.134,50,270,124,0,1,2010,5.4,-0.4,2.5,-20
D.Ward,HOU,101,0.406,0.341,51,312,391,4,1,2010,6.1,2.1,7.7,107
